Escape Sequences

\\    Backslash (\)
\'    Single-quote (')
\"    Double-quote (")
\a    ASCII bell (BEL)
\b    ASCII backspace (BS)
\f    ASCII formfeed (FF)
\n    ASCII linefeed (LF)
\N{name}    Character named name in the Unicode database (Unicode only)
\r    Carriage Return (CR)
\t    Horizontal Tab (TAB)
\uxxxx    Character with 16-bit hex value xxxx
\Uxxxxxxxx    Character with 32-bit hex value xxxxxxxx
\v    ASCII vertical tab (VT)
\000  Character with octal value 000
\xhh  Character with hex value hh
